# channel  phase_bin  observed  model  ns_surface  background  mdnse_contrib
50 1 659 621.594 283.668 337.926 0.1309882
50 2 580 589.367 251.441 337.926 0.0082139237
50 3 565 547.845 209.919 337.926 0.0275506
50 4 487 502.113 164.188 337.925 0.021382131
50 5 467 457.283 119.358 337.925 0.0088392217
50 6 432 418.06 80.134 337.926 0.018191779
50 7 407 387.379 49.453 337.926 0.036040591
50 8 371 365.402 27.476 337.926 0.002933698
50 9 388 358.218 20.291 337.927 0.083034264
50 10 385 372.985 35.058 337.927 0.013514413
50 11 411 405.842 67.914 337.928 0.0024906477
50 12 445 447.619 109.691 337.928 0.00064212654
50 13 475 489.593 151.666 337.927 0.019936035
50 14 501 525.112 187.185 337.927 0.054427213
50 15 533 549.983 212.056 337.927 0.027000913
50 16 547 561.846 223.919 337.927 0.020633293
50 17 568 560.254 222.327 337.927 0.0056170024
50 18 525 546.329 208.403 337.926 0.04258833
50 19 522 522.478 184.552 337.926 2.1389736e-05
50 20 493 491.581 153.655 337.926 0.00018850133
50 21 447 458.086 120.16 337.926 0.011505338
50 22 428 428.204 90.278 337.926 3.8959194e-06
50 23 432 408.525 70.599 337.926 0.051589441
50 24 406 404.643 66.716 337.927 0.00017238891
50 25 422 419.298 81.37 337.928 0.00068347135
50 26 380 453.228 115.3 337.928 0.50200029
50 27 489 500.414 162.487 337.927 0.012196223
50 28 566 550.393 212.465 337.928 0.022802816
50 29 614 594.504 256.577 337.927 0.035582844
50 30 615 626.398 288.471 337.927 0.012162054
50 31 637 642.118 304.191 337.927 0.0024521678
51 0 661 638.402 295.67 342.732 0.047806795
51 1 581 620.162 277.43 342.732 0.14357517
51 2 616 588.536 245.804 342.732 0.070611787
51 3 544 547.835 205.104 342.731 0.0013768301
51 4 501 503.062 160.331 342.731 0.00039804021
51 5 470 459.215 116.483 342.732 0.010889048
51 6 443 420.885 78.153 342.732 0.045785031
51 7 393 390.936 48.205 342.731 0.00039881273
51 8 386 369.526 26.794 342.732 0.02540667
51 9 355 362.578 19.846 342.732 0.0053759946
51 10 381 377.044 34.311 342.733 0.0014650829
51 11 389 409.201 66.468 342.733 0.038202815
51 12 431 450.171 107.438 342.733 0.034406394
51 13 450 491.403 148.67 342.733 0.16047717
51 14 507 526.323 183.59 342.733 0.034954149
51 15 564 550.781 208.048 342.733 0.016358626
51 16 595 562.431 219.698 342.733 0.099302109
51 17 561 560.829 218.097 342.732 2.7374226e-06
51 18 559 547.087 204.355 342.732 0.013285928
51 19 539 523.589 180.858 342.731 0.022233676
51 20 509 493.193 150.462 342.731 0.023390986
51 21 451 460.292 117.56 342.732 0.0080829153
51 22 404 430.972 88.24 342.732 0.068104518
51 23 407 411.683 68.951 342.732 0.0020530425
51 24 402 407.921 65.188 342.733 0.0032820088
51 25 437 422.302 79.569 342.733 0.020223956
51 26 429 455.507 112.773 342.734 0.065776503
51 27 498 501.686 158.952 342.734 0.0012719214
51 28 583 550.607 207.874 342.733 0.098231769
51 29 586 593.789 251.055 342.734 0.0056795383
51 30 617 625.011 282.278 342.733 0.0060079054
51 31 660 640.38 297.647 342.733 0.036036917
